Human.Gene,Uniprot ID,Protein Name,Protein Description,Bulk_avg_abundance,Vessel_avg_abundance,Differentially expressed?,logFC (Vessel vs. Bulk),P.Value (Vessel vs. Bulk),adj.P.Value (Vessel vs. Bulk)
GFER,P55789,ALR_HUMAN,FAD-linked sulfhydryl oxidase ALR,2523816.863,1888105.578,Not differentially expressed,-0.382,0.379243771,0.903
HOOK3,Q86VS8,HOOK3_HUMAN,Protein Hook homolog 3,1424606.082,1031106.393,Not differentially expressed,-0.384,0.419861653,0.906
NUDCD1,Q96RS6,NUDC1_HUMAN,NudC domain-containing protein 1,1032230.464,807889.9881,Not differentially expressed,-0.384,0.43513802,0.907
SERBP1,Q8NC51,SERB1_HUMAN,SERPINE1 mRNA-binding protein 1,3235621.659,3143299.942,Not differentially expressed,-0.384,0.519298471,0.911
CDKN2AIP,Q9NXV6,CARF_HUMAN,CDKN2A-interacting protein,550837.5232,434056.915,Not differentially expressed,-0.385,0.410655833,0.905
SPECC1L,Q69YQ0,CYTSA_HUMAN,Cytospin-A,863755.3123,755578.4803,Not differentially expressed,-0.385,0.487484134,0.91
TRAPPC2L,Q9UL33,TPC2L_HUMAN,Trafficking protein particle complex subunit 2-like protein,488997.9024,388073.1028,Not differentially expressed,-0.385,0.533406692,0.912
KLHL42,Q9P2K6,KLH42_HUMAN,Kelch-like protein 42,381421.0878,289525.8032,Not differentially expressed,-0.386,0.357720791,0.902
CCNYL1,Q8N7R7,CCYL1_HUMAN,Cyclin-Y-like protein 1,677668.5591,525914.1566,Not differentially expressed,-0.386,0.501787903,0.91
EDC3,Q96F86,EDC3_HUMAN,Enhancer of mRNA-decapping protein 3,315103.6736,237550.5777,Not differentially expressed,-0.386,0.635167061,0.916
DNAJC11,Q9NVH1,DJC11_HUMAN,DnaJ homolog subfamily C member 11,9892569.363,8853350.629,Not differentially expressed,-0.387,0.508144269,0.911
DMWD,Q09019,DMWD_HUMAN,Dystrophia myotonica WD repeat-containing protein,258970.7125,178685.4638,Not differentially expressed,-0.387,0.540333131,0.912
LETM1,O95202,LETM1_HUMAN,Mitochondrial proton/calcium exchanger protein,8176170.99,5783498.785,Not differentially expressed,-0.388,0.526633762,0.912
SUPV3L1,Q8IYB8,SUV3_HUMAN,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",1763172.04,2094846.17,Not differentially expressed,-0.388,0.628759543,0.916
KIF5A,Q12840,KIF5A_HUMAN,Kinesin heavy chain isoform 5A,1336056.547,999513.1545,Not differentially expressed,-0.389,0.565859945,0.913
MBNL1,Q9NR56,MBNL1_HUMAN,Muscleblind-like protein 1,782971.3705,775140.2044,Not differentially expressed,-0.39,0.534952044,0.912
ARHGEF2,Q92974,ARHG2_HUMAN,Rho guanine nucleotide exchange factor 2,2501398.589,1943244.859,Not differentially expressed,-0.391,0.447736726,0.908
FCGR1A,P12314,FCGR1_HUMAN,High affinity immunoglobulin gamma Fc receptor I,707288.5176,622835.768,Not differentially expressed,-0.391,0.476532808,0.909
NOL3,O60936,NOL3_HUMAN,Nucleolar protein 3,623801.1495,437488.4206,Not differentially expressed,-0.392,0.609218816,0.915
UNC5A,Q6ZN44,UNC5A_HUMAN,Netrin receptor UNC5A,634989.8063,436651.9668,Not differentially expressed,-0.392,0.637888221,0.916
ACP2,P11117,PPAL_HUMAN,Lysosomal acid phosphatase,3096816.639,2776247.686,Not differentially expressed,-0.394,0.456281758,0.908
EEF1A2,Q05639,EF1A2_HUMAN,Elongation factor 1-alpha 2,85745442.93,79192033.84,Not differentially expressed,-0.394,0.485464584,0.91
NAMPT,P43490,NAMPT_HUMAN,Nicotinamide phosphoribosyltransferase,4699099.392,4079734.466,Not differentially expressed,-0.395,0.467448079,0.909
HPR,P00739,HPTR_HUMAN,Haptoglobin-related protein,709340.5089,459179.4537,Not differentially expressed,-0.397,0.549028875,0.913
AKR1C3,P42330,AK1C3_HUMAN,Aldo-keto reductase family 1 member C3,2774598.895,2463331.261,Not differentially expressed,-0.398,0.524811482,0.912
SHFL,Q9NUL5,SHFL_HUMAN,Shiftless antiviral inhibitor of ribosomal frameshifting protein,1990034.086,1534689.714,Not differentially expressed,-0.399,0.355300584,0.902
SLC25A4,P12235,ADT1_HUMAN,ADP/ATP translocase 1,27114540.86,19308900.89,Not differentially expressed,-0.399,0.407002728,0.905
FRG1,Q14331,FRG1_HUMAN,Protein FRG1,566264.6021,436298.1137,Not differentially expressed,-0.399,0.455079392,0.908
BIN3,Q9NQY0,BIN3_HUMAN,Bridging integrator 3,818760.6256,621138.7855,Not differentially expressed,-0.399,0.616299065,0.915
ASCC3,Q8N3C0,ASCC3_HUMAN,Activating signal cointegrator 1 complex subunit 3,275955.9923,214576.878,Not differentially expressed,-0.399,0.628369297,0.916
KPNA2,P52292,IMA1_HUMAN,Importin subunit alpha-1,585855.3812,458657.9758,Not differentially expressed,-0.402,0.59362838,0.915
ABCD3,P28288,ABCD3_HUMAN,ATP-binding cassette sub-family D member 3,1125434.883,1531963.699,Not differentially expressed,-0.402,0.674243192,0.918
ARHGEF37,A1IGU5,ARH37_HUMAN,Rho guanine nucleotide exchange factor 37,766582.0911,643644.0959,Not differentially expressed,-0.403,0.432586926,0.907
NPEPL1,Q8NDH3,PEPL1_HUMAN,Probable aminopeptidase NPEPL1,1010589.451,905872.5204,Not differentially expressed,-0.403,0.482205702,0.909
GTF3C4,Q9UKN8,TF3C4_HUMAN,General transcription factor 3C polypeptide 4,3373553.95,1035157.984,Not differentially expressed,-0.403,0.721347341,0.92
MAGED2,Q9UNF1,MAGD2_HUMAN,Melanoma-associated antigen D2,666280.3109,492986.8016,Not differentially expressed,-0.404,0.353703185,0.901
PSMD14,O00487,PSDE_HUMAN,26S proteasome non-ATPase regulatory subunit 14,5492393.92,4483067.635,Not differentially expressed,-0.405,0.465510094,0.909
GJC2,Q5T442,CXG2_HUMAN,Gap junction gamma-2 protein,1793600.805,1325618.734,Not differentially expressed,-0.405,0.550154782,0.913
TUBB6,Q9BUF5,TBB6_HUMAN,Tubulin beta-6 chain,9923354.287,9718207.8,Not differentially expressed,-0.406,0.556270104,0.913
DYM,Q7RTS9,DYM_HUMAN,Dymeclin,251642.5152,202019.6201,Not differentially expressed,-0.406,0.609213976,0.915
WWP1,Q9H0M0,WWP1_HUMAN,NEDD4-like E3 ubiquitin-protein ligase WWP1,565946.758,444631.5956,Not differentially expressed,-0.407,0.360118752,0.902
CPQ,Q9Y646,CBPQ_HUMAN,Carboxypeptidase Q,4066125.254,3376219.132,Not differentially expressed,-0.407,0.498032853,0.91
UCK1,Q9HA47,UCK1_HUMAN,Uridine-cytidine kinase 1,407804.5516,271947.3224,Not differentially expressed,-0.409,0.443800675,0.907
IGKV3D-20,A0A0C4DH25,KVD20_HUMAN,Immunoglobulin kappa variable 3D-20,1168288.411,794086.8353,Not differentially expressed,-0.409,0.551340068,0.913
TIAL1,Q01085,TIAR_HUMAN,Nucleolysin TIAR,3411407.897,2797552.885,Not differentially expressed,-0.41,0.35906296,0.902
VPS41,P49754,VPS41_HUMAN,Vacuolar protein sorting-associated protein 41 homolog,3952495.425,2809341.323,Not differentially expressed,-0.41,0.42847429,0.906
QARS1,P47897,SYQ_HUMAN,Glutamine--tRNA ligase,2972476.096,2800596.567,Not differentially expressed,-0.41,0.489523112,0.91
PREX1,Q8TCU6,PREX1_HUMAN,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein",1029837.69,739891.4564,Not differentially expressed,-0.41,0.513765606,0.911
VAPB,O95292,VAPB_HUMAN,Vesicle-associated membrane protein-associated protein B/C,22796787.08,18508815.37,Not differentially expressed,-0.411,0.350675209,0.901
GK,P32189,GLPK_HUMAN,Glycerol kinase,3417356.658,2559495.188,Not differentially expressed,-0.411,0.401751496,0.905
GALT,P07902,GALT_HUMAN,Galactose-1-phosphate uridylyltransferase,1052616.904,779333.5767,Not differentially expressed,-0.412,0.537052236,0.912
PAG1,Q9NWQ8,PHAG1_HUMAN,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1,1156749.625,997554.3044,Not differentially expressed,-0.413,0.444590078,0.907
RRM2B,Q7LG56,RIR2B_HUMAN,Ribonucleoside-diphosphate reductase subunit M2 B,565494.2067,390097.0785,Not differentially expressed,-0.414,0.473136702,0.909
A1BG,P04217,A1BG_HUMAN,Alpha-1B-glycoprotein,3609334.03,2699512.637,Not differentially expressed,-0.414,0.579727394,0.914
YIPF4,Q9BSR8,YIPF4_HUMAN,Protein YIPF4,327616.1008,317917.5731,Not differentially expressed,-0.414,0.599547736,0.915
UQCR10,Q9UDW1,QCR9_HUMAN,Cytochrome b-c1 complex subunit 9,1617984.2,1169625.634,Not differentially expressed,-0.415,0.326163462,0.899
ALDH2,P05091,ALDH2_HUMAN,"Aldehyde dehydrogenase, mitochondrial",67170652.81,52659124.15,Not differentially expressed,-0.415,0.356748907,0.902
MTOR,P42345,MTOR_HUMAN,Serine/threonine-protein kinase mTOR,2028934.032,1899264.102,Not differentially expressed,-0.415,0.564379022,0.913
PSMA7,O14818,PSA7_HUMAN,Proteasome subunit alpha type-7,5676661.233,4482422.161,Not differentially expressed,-0.416,0.358844002,0.902
TXNL4A,P83876,TXN4A_HUMAN,Thioredoxin-like protein 4A,333775.185,232724.9292,Not differentially expressed,-0.416,0.528802276,0.912
IL6ST,P40189,IL6RB_HUMAN,Interleukin-6 receptor subunit beta,1181239.411,944821.0118,Not differentially expressed,-0.418,0.336927294,0.9
CNPY3,Q9BT09,CNPY3_HUMAN,Protein canopy homolog 3,1777259.027,1710239.484,Not differentially expressed,-0.418,0.475305318,0.909
APOH,P02749,APOH_HUMAN,Beta-2-glycoprotein 1,4390199.953,4536154.494,Not differentially expressed,-0.418,0.583281686,0.914
C12orf4,Q9NQ89,CL004_HUMAN,Protein C12orf4,757506.7807,505639.2835,Not differentially expressed,-0.418,0.620662941,0.916
RAB3GAP1,Q15042,RB3GP_HUMAN,Rab3 GTPase-activating protein catalytic subunit,2179576.943,1646489.381,Not differentially expressed,-0.419,0.393179116,0.904
LZTR1,Q8N653,LZTR1_HUMAN,Leucine-zipper-like transcriptional regulator 1,164124.6464,156536.1748,Not differentially expressed,-0.419,0.673106124,0.918
ACAP2,Q15057,ACAP2_HUMAN,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",1173685.56,891396.9825,Not differentially expressed,-0.421,0.33304265,0.9
BBS1,Q8NFJ9,BBS1_HUMAN,Bardet-Biedl syndrome 1 protein,493310.4743,368404.7771,Not differentially expressed,-0.421,0.549077617,0.913
CCDC86,Q9H6F5,CCD86_HUMAN,Coiled-coil domain-containing protein 86,514105.9554,383344.0104,Not differentially expressed,-0.422,0.349253491,0.901
UBL4A,P11441,UBL4A_HUMAN,Ubiquitin-like protein 4A,1184004.288,818224.3519,Not differentially expressed,-0.422,0.458984941,0.908
KPNA4,O00629,IMA3_HUMAN,Importin subunit alpha-3,3461061.03,2859627.122,Not differentially expressed,-0.423,0.387389015,0.904
MCTP1,Q6DN14,MCTP1_HUMAN,Multiple C2 and transmembrane domain-containing protein 1,1917230.964,1413457.876,Not differentially expressed,-0.423,0.39293625,0.904
CHAD,O15335,CHAD_HUMAN,Chondroadherin,292292.4223,245641.3029,Not differentially expressed,-0.423,0.649226054,0.917
HK2,P52789,HXK2_HUMAN,Hexokinase-2,1197840.757,1259164.989,Not differentially expressed,-0.426,0.604179285,0.915
SRPK2,P78362,SRPK2_HUMAN,SRSF protein kinase 2,3011792.081,2246737.383,Not differentially expressed,-0.428,0.280266553,0.895
ADGRB2,O60241,AGRB2_HUMAN,Adhesion G protein-coupled receptor B2,657446.6698,473704.686,Not differentially expressed,-0.428,0.537850746,0.912
NDUFB11,Q9NX14,NDUBB_HUMAN,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",8513952.19,5439346.639,Not differentially expressed,-0.429,0.450434601,0.908
CAB39,Q9Y376,CAB39_HUMAN,Calcium-binding protein 39,2468562.336,1618143.135,Not differentially expressed,-0.431,0.416924549,0.906
DAD1,P61803,DAD1_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,705162.1764,680308.7614,Not differentially expressed,-0.432,0.603696136,0.915
SDSL,Q96GA7,SDSL_HUMAN,Serine dehydratase-like,576927.0728,419518.6187,Not differentially expressed,-0.433,0.392914919,0.904
MPP1,Q00013,EM55_HUMAN,55 kDa erythrocyte membrane protein,3524588.938,3387008.936,Not differentially expressed,-0.433,0.495438378,0.91
FZR1,Q9UM11,FZR1_HUMAN,Fizzy-related protein homolog,223048.0818,171590.5689,Not differentially expressed,-0.433,0.512658737,0.911
MCF2L,O15068,MCF2L_HUMAN,Guanine nucleotide exchange factor DBS,625295.5905,397590.2345,Not differentially expressed,-0.433,0.528786014,0.912
ALDH16A1,Q8IZ83,A16A1_HUMAN,Aldehyde dehydrogenase family 16 member A1,1693300.777,1323785.103,Not differentially expressed,-0.434,0.3605907,0.902
IGHV3OR16-9,A0A0B4J2B5,A0A0B4J2B5_HUMAN,Immunoglobulin heavy variable 3/OR16-9 (non-functional) (Fragment),3299902.04,3051939.853,Not differentially expressed,-0.434,0.474311727,0.909
GNB2,P62879,GBB2_HUMAN,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,108539801.1,84663924.97,Not differentially expressed,-0.435,0.297623503,0.897
SAR1B,Q9Y6B6,SAR1B_HUMAN,GTP-binding protein SAR1b,1031187.695,730276.4648,Not differentially expressed,-0.435,0.334978516,0.9
NCCRP1,Q6ZVX7,FBX50_HUMAN,F-box only protein 50,1772184.879,2474697.99,Not differentially expressed,-0.435,0.680460444,0.918
SELENOH,Q8IZQ5,SELH_HUMAN,Selenoprotein H,952701.986,703080.351,Not differentially expressed,-0.436,0.306430369,0.898
PTPRA,P18433,PTPRA_HUMAN,Receptor-type tyrosine-protein phosphatase alpha,7380416.776,6309715.616,Not differentially expressed,-0.436,0.405931229,0.905
MRPS17,Q9Y2R5,RT17_HUMAN,Small ribosomal subunit protein uS17m,471914.9947,338692.1481,Not differentially expressed,-0.436,0.442771149,0.907
PHF1,O43189,PHF1_HUMAN,PHD finger protein 1,386094.3013,322478.9137,Not differentially expressed,-0.436,0.573513237,0.914
PACSIN2,Q9UNF0,PACN2_HUMAN,Protein kinase C and casein kinase substrate in neurons protein 2,4965020.243,4851768.788,Not differentially expressed,-0.437,0.490412033,0.91
YPEL5,P62699,YPEL5_HUMAN,Protein yippee-like 5,395274.1222,338725.3578,Not differentially expressed,-0.439,0.627319988,0.916
MRPL54,Q6P161,RM54_HUMAN,Large ribosomal subunit protein mL54,1124154.88,810259.0485,Not differentially expressed,-0.44,0.400242378,0.905
AGO3,Q9H9G7,AGO3_HUMAN,Protein argonaute-3,945138.1369,924448.0438,Not differentially expressed,-0.44,0.498470284,0.91
AAR2,Q9Y312,AAR2_HUMAN,Protein AAR2 homolog,124234.6094,89322.37064,Not differentially expressed,-0.44,0.59448233,0.914
TWF1,Q12792,TWF1_HUMAN,Twinfilin-1,4718106.294,3498291.568,Not differentially expressed,-0.443,0.289158851,0.896
SQSTM1,Q13501,SQSTM_HUMAN,Sequestosome-1,989900.1213,765663.0123,Not differentially expressed,-0.444,0.33433801,0.9
UPRT,Q96BW1,UPP_HUMAN,Uracil phosphoribosyltransferase homolog,411558.8436,327764.1173,Not differentially expressed,-0.446,0.512110874,0.911
SNAPIN,O95295,SNAPN_HUMAN,SNARE-associated protein Snapin,339578.2089,252112.2619,Not differentially expressed,-0.446,0.535122194,0.912
TCTE1,Q5JU00,DRC5_HUMAN,Dynein regulatory complex subunit 5,992704.1186,1060662.142,Not differentially expressed,-0.446,0.709062881,0.919
C8A,P07357,CO8A_HUMAN,Complement component C8 alpha chain,562750.3524,429909.2604,Not differentially expressed,-0.447,0.471502461,0.909
RPL23A,P62750,RL23A_HUMAN,Large ribosomal subunit protein uL23,7318003.084,5602035.662,Not differentially expressed,-0.448,0.301724076,0.897
TMEM94,Q12767,TMM94_HUMAN,Transmembrane protein 94,1120786.198,859475.5604,Not differentially expressed,-0.448,0.388611237,0.904
PHACTR2,O75167,PHAR2_HUMAN,Phosphatase and actin regulator 2,593389.7227,431202.0405,Not differentially expressed,-0.449,0.354438761,0.901
GOLGA7,Q7Z5G4,GOGA7_HUMAN,Golgin subfamily A member 7,2239691.338,1865968.835,Not differentially expressed,-0.449,0.396898537,0.905
EPM2AIP1,Q7L775,EPMIP_HUMAN,EPM2A-interacting protein 1,1341100.662,1075576.292,Not differentially expressed,-0.449,0.407118175,0.905
COA1,Q9GZY4,COA1_HUMAN,Cytochrome c oxidase assembly factor 1 homolog,610074.7419,388860.5077,Not differentially expressed,-0.45,0.433797425,0.907
PRKCB,P05771,KPCB_HUMAN,Protein kinase C beta type,1220063.507,847705.7827,Not differentially expressed,-0.45,0.449175109,0.908
PCDH17,O14917,PCD17_HUMAN,Protocadherin-17,1538879.239,1119125.823,Not differentially expressed,-0.45,0.490383347,0.91
PLCB3,Q01970,PLCB3_HUMAN,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",1095060.832,822069.5061,Not differentially expressed,-0.451,0.327345807,0.899
CAPZA2,P47755,CAZA2_HUMAN,F-actin-capping protein subunit alpha-2,25959739.8,20044840.34,Not differentially expressed,-0.451,0.354707968,0.902
STX3,Q13277,STX3_HUMAN,Syntaxin-3,2293730.404,2099769.226,Not differentially expressed,-0.451,0.66342547,0.917
IGHG4,P01861,IGHG4_HUMAN,Immunoglobulin heavy constant gamma 4,3327912.36,2611550.361,Not differentially expressed,-0.452,0.544607735,0.913
DAB2IP,Q5VWQ8,DAB2P_HUMAN,Disabled homolog 2-interacting protein,543651.6858,428339.7191,Not differentially expressed,-0.454,0.360676757,0.902
IGHV3OR16-12,A0A075B7B8,A0A075B7B8_HUMAN,Immunoglobulin heavy variable 3/OR16-12 (non-functional) (Fragment),939700.1724,660417.4518,Not differentially expressed,-0.454,0.387461612,0.904
AGA,P20933,ASPG_HUMAN,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,1468553.115,1093753.421,Not differentially expressed,-0.454,0.395936425,0.904
ARPC3,O15145,ARPC3_HUMAN,Actin-related protein 2/3 complex subunit 3,4800912.501,3622680.975,Not differentially expressed,-0.454,0.41189785,0.906
ZFPL1,O95159,ZFPL1_HUMAN,Zinc finger protein-like 1,1257322.304,1066258.574,Not differentially expressed,-0.455,0.385591628,0.904
YWHAG,P61981,1433G_HUMAN,14-3-3 protein gamma,36316570.32,20947396.73,Not differentially expressed,-0.455,0.409882608,0.905
RAB3GAP2,Q9H2M9,RBGPR_HUMAN,Rab3 GTPase-activating protein non-catalytic subunit,1868295.045,1452149.581,Not differentially expressed,-0.455,0.416089336,0.906
IMP4,Q96G21,IMP4_HUMAN,U3 small nucleolar ribonucleoprotein protein IMP4,859045.6938,636808.7193,Not differentially expressed,-0.457,0.531341299,0.912
ABHD5,Q8WTS1,ABHD5_HUMAN,1-acylglycerol-3-phosphate O-acyltransferase ABHD5,369332.4733,258900.0236,Not differentially expressed,-0.458,0.516677688,0.911
AMPD3,Q01432,AMPD3_HUMAN,AMP deaminase 3,2553463.668,2119046.493,Not differentially expressed,-0.459,0.402436773,0.905
LZTFL1,Q9NQ48,LZTL1_HUMAN,Leucine zipper transcription factor-like protein 1,719400.1257,455150.8648,Not differentially expressed,-0.46,0.410998845,0.905
ELP4,Q96EB1,ELP4_HUMAN,Elongator complex protein 4,416655.7681,301036.4003,Not differentially expressed,-0.46,0.481486052,0.909
COQ3,Q9NZJ6,COQ3_HUMAN,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",4760460.962,3523064.248,Not differentially expressed,-0.461,0.344135698,0.901
PPP3CC,P48454,PP2BC_HUMAN,Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform,1650377.83,1051036.627,Not differentially expressed,-0.462,0.399295079,0.905
RAB33B,Q9H082,RB33B_HUMAN,Ras-related protein Rab-33B,3938456.088,3527658.615,Not differentially expressed,-0.462,0.429641185,0.907
GFM1,Q96RP9,EFGM_HUMAN,"Elongation factor G, mitochondrial",3129191.885,2871446.444,Not differentially expressed,-0.462,0.46645893,0.909
PTPMT1,Q8WUK0,PTPM1_HUMAN,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,1107963.567,565089.3537,Not differentially expressed,-0.462,0.516897428,0.911
PPL,O60437,PEPL_HUMAN,Periplakin,686964.8882,689040.8945,Not differentially expressed,-0.462,0.521643196,0.911
TSPAN8,P19075,TSN8_HUMAN,Tetraspanin-8,7781211.494,4814847.559,Not differentially expressed,-0.463,0.423317984,0.906
YWHAZ,P63104,1433Z_HUMAN,14-3-3 protein zeta/delta,42813580.64,25467190.95,Not differentially expressed,-0.463,0.443070773,0.907
PDCD5,O14737,PDCD5_HUMAN,Programmed cell death protein 5,1022067.667,715471.4597,Not differentially expressed,-0.464,0.360475922,0.902
ROMO1,P60602,ROMO1_HUMAN,Reactive oxygen species modulator 1,439831.7633,307132.1155,Not differentially expressed,-0.464,0.514487955,0.911
BAIAP2L1,Q9UHR4,BI2L1_HUMAN,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1,556788.5292,464236.7483,Not differentially expressed,-0.464,0.6039265,0.915
EEF1G,P26641,EF1G_HUMAN,Elongation factor 1-gamma,25933786.5,21308958.26,Not differentially expressed,-0.465,0.334535242,0.9
CIAO1,O76071,CIAO1_HUMAN,Probable cytosolic iron-sulfur protein assembly protein CIAO1,950838.1277,719710.6278,Not differentially expressed,-0.465,0.371518343,0.903
SCO2,O43819,SCO2_HUMAN,"Protein SCO2 homolog, mitochondrial",1685083.719,1143174.595,Not differentially expressed,-0.465,0.444280841,0.907
TMEM67,Q5HYA8,MKS3_HUMAN,Meckelin,267973.1297,245481.6109,Not differentially expressed,-0.466,0.650289698,0.917
